id,label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145
T7,1,1,1,0.33,1,1,1,1,1,1,0.31,1,0.27,1,1,1,0.44,1,1,1,0.32,1,0.36,1,0.18,1,1,1,1,1,0.42,1,0.38,0.38,0.33,1,1,1,1,1,0.31,1,1,0.62,1,0.54,1,0.48,1,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.38,0.44,1,1,1,1,0.48,1,1,1,1,1,1,1,0.58,1,0.67,1,1,0.57,1,1,0.31,1,1,1,0.54,1,1,1,1,1,1,1,1,1,0.39,1,1,0.34,0.24,0.25,0.45,1,1,1,0.31,1,0,1,0.28,1,0.19,0.33,0.56,0.18,0.26,0.26,0.32,0.29,0.26,0.2,0.25,0.34,1,1,0.15,0.21,0.2,0.15,0.24,0.2,0.2,1,0.35,0.32,0.27,0.3,0.38,0.3,0.27
T8,1,1,1,0.27,1,1,1,1,1,1,0.35,1,0.17,1,1,1,0.64,1,1,1,0.19,1,0.34,1,0.33,1,1,1,1,1,0.26,1,0.2,0.2,0.49,1,1,1,1,1,0,1,1,0.41,1,0.47,1,0.54,1,0.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23,0.44,1,1,1,1,0.34,1,1,1,1,1,1,1,0.23,1,0.39,1,1,0.57,1,1,0.31,1,1,1,0.55,1,1,1,1,1,1,1,1,1,0.37,1,1,0.36,0.21,0.24,0.3,1,1,1,0.23,1,0.33,1,0,1,0.24,0.25,0.46,0.16,0.29,0.18,0.24,0.2,0.22,0.24,0.19,0.32,1,1,0.16,0.25,0.17,0.21,0.28,0.17,0.16,1,0.42,0.2,0.15,0.19,0.18,0.24,0.24
T9,1,1,1,0.5,1,1,1,1,1,1,0.62,1,0.29,1,1,1,0.67,1,1,1,0.3,1,0.39,1,0.47,1,1,1,1,1,0.37,1,0.35,0.35,0.43,1,1,1,1,1,0.36,1,1,0.45,1,0.41,1,0.55,1,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.68,0.64,1,1,1,1,0.49,1,1,1,1,1,1,1,0.32,1,0.63,1,1,0.64,1,1,0.41,1,1,1,0.85,1,1,1,1,1,1,1,1,1,0.55,1,1,0.53,0.48,0.4,0.61,1,1,1,0.32,1,0.3,1,0.32,1,0,0.31,0.61,0.13,0.34,0.2,0.28,0.22,0.22,0.33,0.32,0.37,1,1,0.16,0.25,0.08,0.11,0.23,0.19,0.23,1,0.41,0.27,0.39,0.29,0.27,0.26,0.38
T10,1,1,1,0.46,1,1,1,1,1,1,0.46,1,0.2,1,1,1,0.7,1,1,1,0.36,1,0.54,1,0.7,1,1,1,1,1,0.42,1,0.23,0.23,0.5,1,1,1,1,1,0.32,1,1,0.47,1,0.38,1,0.64,1,0.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.28,0.34,1,1,1,1,0.36,1,1,1,1,1,1,1,0.42,1,0.42,1,1,0.7,1,1,0.41,1,1,1,0.59,1,1,1,1,1,1,1,1,1,0.46,1,1,0.23,0.26,0.28,0.38,1,1,1,0.29,1,0.44,1,0.28,1,0.25,0,0.36,0.13,0.17,0.17,0.23,0.15,0.14,0.15,0.23,0.25,1,1,0.19,0.17,0.18,0.13,0.27,0.19,0.21,1,0.35,0.26,0.18,0.15,0.17,0.22,0.33
T11,1,1,1,0.45,1,1,1,1,1,1,0.5,1,0.19,1,1,1,0.48,1,1,1,0.41,1,0.56,1,0.52,1,1,1,1,1,0.43,1,0.25,0.25,0.33,1,1,1,1,1,0.45,1,1,0.5,1,0.39,1,0.26,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,0.52,1,1,1,1,0.36,1,1,1,1,1,1,1,0.39,1,0.27,1,1,0.31,1,1,0.4,1,1,1,0.63,1,1,1,1,1,1,1,1,1,0.31,1,1,0.3,0.19,0.42,0.33,1,1,1,0.34,1,0.57,1,0.4,1,0.39,0.28,0,0.21,0.32,0.28,0.23,0.25,0.2,0.34,0.29,0.52,1,1,0.21,0.25,0.24,0.18,0.29,0.25,0.27,1,0.43,0.21,0.25,0.28,0.29,0.26,0.38
T12,1,1,1,0.26,1,1,1,1,1,1,0.43,1,0.2,1,1,1,0.83,1,1,1,0.24,1,0.3,1,0.55,1,1,1,1,1,0.4,1,0.29,0.29,0.41,1,1,1,1,1,0.3,1,1,0.54,1,0.4,1,0.57,1,0.18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.35,0.41,1,1,1,1,0.3,1,1,1,1,1,1,1,0.36,1,0.46,1,1,0.56,1,1,0.45,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.82,1,1,0.22,0.2,0.27,0.39,1,1,1,0.37,1,0.35,1,0.26,1,0.15,0.19,0.39,0,0.2,0.14,0.21,0.13,0.18,0.21,0.26,0.39,1,1,0.17,0.22,0.11,0.22,0.27,0.2,0.28,1,0.36,0.24,0.22,0.17,0.16,0.24,0.3
T13,1,1,1,0.49,1,1,1,1,1,1,0.3,1,0.18,1,1,1,0.42,1,1,1,0.28,1,0.59,1,0.92,1,1,1,1,1,0.6,1,0.42,0.43,0.57,1,1,1,1,1,0.38,1,1,0.42,1,0.33,1,0.6,1,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43,0.43,1,1,1,1,0.32,1,1,1,1,1,1,1,0.55,1,0.47,1,1,0.48,1,1,0.68,1,1,1,0.47,1,1,1,1,1,1,1,1,1,0.61,1,1,0.44,0.28,0.25,0.68,1,1,1,0.24,1,0.36,1,0.34,1,0.3,0.19,0.44,0.15,0,0.22,0.21,0.14,0.16,0.17,0.22,0.49,1,1,0.15,0.22,0.15,0.1,0.4,0.21,0.2,1,0.37,0.31,0.19,0.23,0.2,0.28,0.39
T14,1,1,1,0.4,1,1,1,1,1,1,0.46,1,0.25,1,1,1,0.61,1,1,1,0.29,1,0.55,1,0.46,1,1,1,1,1,0.27,1,0.23,0.23,0.51,1,1,1,1,1,0.26,1,1,0.65,1,0.61,1,0.66,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.64,0.54,1,1,1,1,0.35,1,1,1,1,1,1,1,0.59,1,0.61,1,1,0.6,1,1,0.48,1,1,1,0.68,1,1,1,1,1,1,1,1,1,0.45,1,1,0.39,0.24,0.23,0.62,1,1,1,0.33,1,0.4,1,0.23,1,0.19,0.19,0.41,0.11,0.23,0,0.24,0.13,0.17,0.18,0.35,0.42,1,1,0.2,0.2,0.13,0.13,0.26,0.19,0.19,1,0.38,0.27,0.15,0.19,0.18,0.26,0.3
T15,1,1,1,0.29,1,1,1,1,1,1,0.37,1,0.19,1,1,1,0.75,1,1,1,0.21,1,0.38,1,0.8,1,1,1,1,1,0.25,1,0.23,0.23,0.47,1,1,1,1,1,0.31,1,1,0.45,1,0.36,1,0.55,1,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.36,0.55,1,1,1,1,0.36,1,1,1,1,1,1,1,0.61,1,0.66,1,1,0.48,1,1,0.46,1,1,1,0.57,1,1,1,1,1,1,1,1,1,0.52,1,1,0.62,0.29,0.42,0.61,1,1,1,0.36,1,0.45,1,0.28,1,0.25,0.25,0.32,0.15,0.2,0.22,0,0.11,0.12,0.25,0.24,0.5,1,1,0.19,0.27,0.1,0.17,0.32,0.22,0.19,1,0.4,0.24,0.16,0.18,0.16,0.34,0.37
T16,1,1,1,0.33,1,1,1,1,1,1,0.5,1,0.28,1,1,1,0.57,1,1,1,0.4,1,0.94,1,0.88,1,1,1,1,1,0.31,1,0.29,0.29,0.47,1,1,1,1,1,0.44,1,1,0.82,1,0.49,1,0.95,1,0.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.34,0.59,1,1,1,1,0.53,1,1,1,1,1,1,1,0.6,1,0.65,1,1,0.56,1,1,0.76,1,1,1,0.74,1,1,1,1,1,1,1,1,1,0.99,1,1,0.57,0.28,0.38,0.68,1,1,1,0.53,1,0.66,1,0.39,1,0.32,0.27,0.56,0.16,0.22,0.2,0.18,0,0.16,0.29,0.39,0.59,1,1,0.3,0.28,0.25,0.19,0.36,0.26,0.25,1,0.51,0.23,0.19,0.24,0.24,0.44,0.55
T17,1,1,1,0.32,1,1,1,1,1,1,0.45,1,0.19,1,1,1,0.9,1,1,1,0.35,1,0.75,1,0.94,1,1,1,1,1,0.34,1,0.29,0.29,0.51,1,1,1,1,1,0.42,1,1,0.45,1,0.35,1,0.6,1,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.51,0.58,1,1,1,1,0.3,1,1,1,1,1,1,1,1,1,0.65,1,1,0.33,1,1,0.55,1,1,1,0.67,1,1,1,1,1,1,1,1,1,0.86,1,1,0.71,0.23,0.33,0.69,1,1,1,0.34,1,0.53,1,0.37,1,0.28,0.21,0.4,0.19,0.23,0.23,0.17,0.14,0,0.23,0.21,0.4,1,1,0.18,0.26,0.12,0.22,0.26,0.24,0.24,1,0.4,0.29,0.18,0.23,0.21,0.34,0.52
T18,1,1,1,0.41,1,1,1,1,1,1,0.34,1,0.27,1,1,1,0.79,1,1,1,0.27,1,0.51,1,0.44,1,1,1,1,1,0.45,1,0.33,0.33,0.4,1,1,1,1,1,0.33,1,1,0.62,1,0.46,1,0.57,1,0.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,0.49,1,1,1,1,0.32,1,1,1,1,1,1,1,0.5,1,0.37,1,1,0.6,1,1,0.52,1,1,1,0.46,1,1,1,1,1,1,1,1,1,0.48,1,1,0.4,0.28,0.28,0.62,1,1,1,0.32,1,0.29,1,0.29,1,0.31,0.17,0.49,0.16,0.17,0.18,0.26,0.18,0.17,0,0.14,0.35,1,1,0.23,0.21,0.18,0.16,0.34,0.23,0.25,1,0.34,0.26,0.28,0.22,0.22,0.25,0.46
T19,1,1,1,0.47,1,1,1,1,1,1,0.45,1,0.27,1,1,1,0.78,1,1,1,0.42,1,0.48,1,0.48,1,1,1,1,1,0.55,1,0.41,0.41,0.66,1,1,1,1,1,0.34,1,1,0.9,1,0.44,1,0.33,1,0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.42,0.54,1,1,1,1,0.31,1,1,1,1,1,1,1,0.7,1,0.52,1,1,0.52,1,1,0.48,1,1,1,0.52,1,1,1,1,1,1,1,1,1,0.78,1,1,0.32,0.32,0.51,0.43,1,1,1,0.4,1,0.45,1,0.3,1,0.36,0.32,0.51,0.25,0.28,0.43,0.31,0.31,0.19,0.17,0,0.3,1,1,0.19,0.41,0.18,0.23,0.32,0.23,0.28,1,0.49,0.23,0.27,0.29,0.28,0.29,0.53
T20,1,1,1,0.4,1,1,1,1,1,1,0.7,1,0.28,1,1,1,0.3,1,1,1,0.35,1,0.5,1,0.33,1,1,1,1,1,0.69,1,0.42,0.42,0.98,1,1,1,1,1,0.35,1,1,0.63,1,0.37,1,0.48,1,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21,1,1,1,1,1,0.47,1,1,1,1,1,1,1,0.36,1,0.77,1,1,0.58,1,1,0.56,1,1,1,0.82,1,1,1,1,1,1,1,1,1,0.25,1,1,0.19,0.19,0.42,0.37,1,1,1,0.28,1,0.39,1,0.31,1,0.27,0.22,0.59,0.23,0.4,0.32,0.41,0.29,0.23,0.28,0.19,0,1,1,0.2,0.19,0.19,0.22,0.2,0.19,0.23,1,0.38,0.26,0.3,0.27,0.32,0.2,0.37
T21,1,1,1,0.3,1,1,1,1,1,1,0.5,1,0.13,1,1,1,0.33,1,1,1,0.33,1,0.41,1,0.44,1,1,1,1,1,0.54,1,0.34,0.34,0.5,1,1,1,1,1,0.28,1,1,0.29,1,0.52,1,0.41,1,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.38,0.65,1,1,1,1,0.39,1,1,1,1,1,1,1,0.47,1,0.53,1,1,1,1,1,0.38,1,1,1,0.54,1,1,1,1,1,1,1,1,1,0.78,1,1,0.34,0.23,0.3,0.43,1,1,1,0.22,1,0.28,1,0.24,1,0.19,0.27,0.37,0.16,0.2,0.24,0.24,0.24,0.16,0.29,0.19,0.32,1,1,0,0.16,0.12,0.1,0.18,0.15,0.19,1,0.33,0.31,0.22,0.21,0.2,0.18,0.28
T22,1,1,1,0.36,1,1,1,1,1,1,0.34,1,0.19,1,1,1,0.41,1,1,1,0.27,1,0.49,1,0.54,1,1,1,1,1,0.42,1,0.41,0.41,0.64,1,1,1,1,1,0.35,1,1,0.47,1,0.42,1,0.65,1,0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.31,0.49,1,1,1,1,0.48,1,1,1,1,1,1,1,0.28,1,0.59,1,1,0.42,1,1,0.65,1,1,1,0.47,1,1,1,1,1,1,1,1,1,0.64,1,1,0.29,0.27,0.19,0.41,1,1,1,0.35,1,0.32,1,0.31,1,0.24,0.2,0.37,0.17,0.23,0.2,0.29,0.18,0.19,0.21,0.34,0.25,1,1,0.13,0,0.17,0.09,0.2,0.21,0.12,1,0.36,0.32,0.23,0.23,0.27,0.23,0.34
T23,1,1,1,0.34,1,1,1,1,1,1,0.4,1,0.14,1,1,1,0.47,1,1,1,0.22,1,0.37,1,0.53,1,1,1,1,1,0.28,1,0.33,0.32,0.41,1,1,1,1,1,0.3,1,1,0.37,1,0.3,1,0.66,1,0.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.42,1,1,1,1,0.31,1,1,1,1,1,1,1,0.53,1,0.68,1,1,0.41,1,1,0.48,1,1,1,0.49,1,1,1,1,1,1,1,1,1,0.81,1,1,0.55,0.3,0.24,0.62,1,1,1,0.23,1,0.37,1,0.27,1,0.1,0.25,0.44,0.11,0.2,0.16,0.14,0.21,0.11,0.23,0.19,0.32,1,1,0.13,0.22,0,0.13,0.19,0.18,0.14,1,0.35,0.25,0.19,0.16,0.16,0.24,0.3
T24,1,1,1,0.94,1,1,1,1,1,1,0.59,1,1,1,1,1,0.36,1,1,1,0.54,1,0.84,1,0.6,1,1,1,1,1,0.76,1,0.62,0.63,0.89,1,1,1,1,1,0.62,1,1,0.42,1,1,1,0.48,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.9,1,1,1,1,0.57,1,1,1,1,1,1,1,0.58,1,0.91,1,1,0.83,1,1,1,1,1,1,0.58,1,1,1,1,1,1,1,1,1,0.34,1,1,0.36,0.36,0.21,0.79,1,1,1,0.41,1,0.45,1,0.56,1,0.22,0.31,0.56,0.35,0.23,0.27,0.39,0.26,0.34,0.34,0.39,0.58,1,1,0.16,0.18,0.21,0,0.33,0.21,0.24,1,0.48,0.45,0.5,0.37,0.5,0.18,0.65
T25,1,1,1,0.36,1,1,1,1,1,1,0.45,1,0.23,1,1,1,0.55,1,1,1,0.42,1,0.52,1,0.46,1,1,1,1,1,0.48,1,0.34,0.33,0.37,1,1,1,1,1,0.4,1,1,0.4,1,0.56,1,0.46,1,0.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.54,0.48,1,1,1,1,0.54,1,1,1,1,1,1,1,0.32,1,1,1,1,0.86,1,1,0.33,1,1,1,0.49,1,1,1,1,1,1,1,1,1,0.24,1,1,0.41,0.37,0.3,0.53,1,1,1,0.26,1,0.36,1,0.36,1,0.22,0.31,0.43,0.21,0.42,0.26,0.34,0.24,0.19,0.34,0.26,0.26,1,1,0.15,0.2,0.15,0.16,0,0.21,0.18,1,0.39,0.33,0.3,0.19,0.27,0.24,0.34
T26,1,1,1,0.43,1,1,1,1,1,1,0.42,1,0.45,1,1,1,0.94,1,1,1,0.28,1,0.64,1,0.74,1,1,1,1,1,0.53,1,0.41,0.41,0.52,1,1,1,1,1,0.28,1,1,0.47,1,0.67,1,0.48,1,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.42,0.75,1,1,1,1,0.35,1,1,1,1,1,1,1,0.34,1,0.73,1,1,0.63,1,1,0.45,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.27,1,1,0.36,0.18,0.29,0.49,1,1,1,0.22,1,0.35,1,0.24,1,0.2,0.25,0.43,0.18,0.26,0.22,0.27,0.19,0.21,0.28,0.22,0.29,1,1,0.14,0.25,0.17,0.12,0.25,0,0.15,1,0.47,0.22,0.23,0.2,0.22,0.23,0.32
T27,1,1,1,0.45,1,1,1,1,1,1,0.59,1,0.28,1,1,1,0.58,1,1,1,0.36,1,0.57,1,0.6,1,1,1,1,1,0.5,1,0.36,0.36,0.72,1,1,1,1,1,0.28,1,1,0.47,1,0.48,1,1,1,0.42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.49,0.73,1,1,1,1,0.54,1,1,1,1,1,1,1,0.47,1,0.6,1,1,0.63,1,1,0.43,1,1,1,0.6,1,1,1,1,1,1,1,1,1,0.66,1,1,0.45,0.19,0.19,0.57,1,1,1,0.31,1,0.34,1,0.24,1,0.25,0.28,0.45,0.25,0.24,0.22,0.24,0.19,0.2,0.29,0.27,0.34,1,1,0.18,0.14,0.13,0.13,0.2,0.15,0,1,0.39,0.26,0.22,0.2,0.25,0.23,0.36
T28,1,1,1,0.43,1,1,1,1,1,1,0.47,1,0.21,1,1,1,0.39,1,1,1,0.35,1,0.49,1,0.47,1,1,1,1,1,0.43,1,0.39,0.39,0.48,1,1,1,1,1,0.34,1,1,0.59,1,0.59,1,0.46,1,0.29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.29,0.51,1,1,1,1,0.28,1,1,1,1,1,1,1,0.35,1,0.58,1,1,0.38,1,1,0.41,1,1,1,0.49,1,1,1,1,1,1,1,1,1,0.34,1,1,0.32,0.24,0.3,0.4,1,1,1,0.27,1,0.3,1,0.31,1,0.22,0.24,0.37,0.16,0.23,0.22,0.25,0.19,0.17,0.21,0.24,0.29,1,1,0.16,0.21,0.16,0.14,0.23,0.23,0.2,1,0,0.22,0.2,0.13,0.16,0.2,0.26
T29,1,1,1,0.33,1,1,1,1,1,1,0.36,1,0.23,1,1,1,0.85,1,1,1,0.3,1,0.58,1,0.59,1,1,1,1,1,0.43,1,0.31,0.31,0.47,1,1,1,1,1,0.3,1,1,0.8,1,0.48,1,0.35,1,0.27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32,0.35,1,1,1,1,0.29,1,1,1,1,1,1,1,0.35,1,0.21,1,1,0.44,1,1,0.48,1,1,1,0.58,1,1,1,1,1,1,1,1,1,0.26,1,1,0.45,0.14,0.34,0.52,1,1,1,0.34,1,0.5,1,0.27,1,0.27,0.32,0.32,0.2,0.35,0.28,0.27,0.16,0.23,0.28,0.2,0.35,1,1,0.27,0.33,0.21,0.23,0.35,0.19,0.24,1,0.4,0,0.18,0.24,0.17,0.27,0.38
T30,1,1,1,0.31,1,1,1,1,1,1,0.38,1,0.19,1,1,1,0.79,1,1,1,0.23,1,0.45,1,0.69,1,1,1,1,1,0.37,1,0.21,0.21,0.59,1,1,1,1,1,0.22,1,1,0.55,1,0.49,1,0.71,1,0.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.48,1,1,1,1,0.26,1,1,1,1,1,1,1,0.4,1,0.62,1,1,0.49,1,1,0.47,1,1,1,0.52,1,1,1,1,1,1,1,1,1,0.54,1,1,0.43,0.16,0.25,0.55,1,1,1,0.32,1,0.4,1,0.19,1,0.35,0.2,0.36,0.16,0.19,0.15,0.17,0.12,0.13,0.28,0.22,0.38,1,1,0.18,0.22,0.14,0.23,0.29,0.2,0.18,1,0.34,0.17,0,0.14,0.08,0.28,0.29
T31,1,1,1,0.3,1,1,1,1,1,1,0.45,1,0.23,1,1,1,0.86,1,1,1,0.33,1,0.53,1,0.59,1,1,1,1,1,0.41,1,0.28,0.28,0.47,1,1,1,1,1,0.29,1,1,0.74,1,0.53,1,0.54,1,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,0.49,1,1,1,1,0.29,1,1,1,1,1,1,1,0.39,1,0.48,1,1,0.47,1,1,0.36,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.52,1,1,0.37,0.23,0.32,0.52,1,1,1,0.39,1,0.48,1,0.26,1,0.29,0.18,0.44,0.14,0.26,0.2,0.21,0.16,0.18,0.24,0.26,0.38,1,1,0.18,0.25,0.14,0.19,0.2,0.18,0.19,1,0.23,0.25,0.15,0,0.13,0.25,0.28
T32,1,1,1,0.39,1,1,1,1,1,1,0.48,1,0.19,1,1,1,0.74,1,1,1,0.21,1,0.49,1,0.6,1,1,1,1,1,0.39,1,0.24,0.24,0.47,1,1,1,1,1,0.23,1,1,0.46,1,0.35,1,0.55,1,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,0.43,1,1,1,1,0.22,1,1,1,1,1,1,1,0.35,1,0.53,1,1,0.45,1,1,0.4,1,1,1,0.41,1,1,1,1,1,1,1,1,1,0.5,1,1,0.4,0.18,0.26,0.49,1,1,1,0.31,1,0.51,1,0.2,1,0.23,0.17,0.39,0.12,0.19,0.17,0.15,0.14,0.14,0.2,0.21,0.38,1,1,0.15,0.25,0.11,0.22,0.25,0.17,0.2,1,0.25,0.15,0.08,0.11,0,0.23,0.3
T33,1,1,1,0.45,1,1,1,1,1,1,0.53,1,0.31,1,1,1,0.6,1,1,1,0.37,1,0.52,1,0.72,1,1,1,1,1,0.44,1,0.45,0.45,0.74,1,1,1,1,1,0.38,1,1,0.36,1,0.39,1,0.94,1,0.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.26,0.44,1,1,1,1,0.7,1,1,1,1,1,1,1,0.65,1,0.31,1,1,0.74,1,1,0.43,1,1,1,0.62,1,1,1,1,1,1,1,1,1,0.29,1,1,0.34,0.25,0.26,0.53,1,1,1,0.24,1,0.5,1,0.33,1,0.26,0.27,0.41,0.2,0.33,0.28,0.4,0.31,0.27,0.28,0.26,0.28,1,1,0.16,0.25,0.2,0.09,0.26,0.22,0.21,1,0.38,0.28,0.31,0.26,0.28,0,0.4
T34,1,1,1,0.25,1,1,1,1,1,1,0.47,1,0.16,1,1,1,0.45,1,1,1,0.31,1,0.5,1,0.24,1,1,1,1,1,0.29,1,0.31,0.31,0.42,1,1,1,1,1,0.22,1,1,0.48,1,0.42,1,0.34,1,0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.41,0.39,1,1,1,1,0.19,1,1,1,1,1,1,1,0.3,1,0.35,1,1,0.35,1,1,0.29,1,1,1,0.31,1,1,1,1,1,1,1,1,1,0.22,1,1,0.37,0.26,0.34,0.46,1,1,1,0.28,1,0.26,1,0.2,1,0.23,0.24,0.36,0.15,0.26,0.19,0.25,0.23,0.25,0.3,0.28,0.31,1,1,0.15,0.22,0.15,0.2,0.22,0.18,0.2,1,0.29,0.23,0.19,0.17,0.21,0.24,0
